Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[63:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tready,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,design_1_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_1_axis_tready,design_1_i/system_ila_0/inst/net_slot_1_axis_tlast,design_1_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_2_axis_tready,design_1_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(xfft_0_M_AXIS_DATA)[2:0],Interface_(i1:s1)_(axis_dwidth_converter_0_M_AXIS)[2:0],Interface_(i1:s2)_(floating_point_0_M_AXIS_RESULT)[2:0],T_Channel_(i1:s0)_(xfft_0_M_AXIS_DATA)[2:0],T_Channel_(i1:s1)_(axis_dwidth_converter_0_M_AXIS)[2:0],T_Channel_(i1:s2)_(floating_point_0_M_AXIS_RESULT)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
74,74,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
75,75,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
76,76,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
77,77,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
78,78,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
79,79,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
80,80,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
81,81,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
82,82,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
83,83,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
84,84,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
85,85,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
86,86,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
87,87,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
88,88,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
89,89,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
90,90,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
91,91,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
92,92,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
93,93,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
94,94,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
95,95,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
96,96,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
97,97,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
98,98,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
99,99,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
100,100,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
101,101,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
102,102,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
103,103,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
104,104,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
105,105,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
106,106,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
107,107,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
108,108,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
109,109,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
110,110,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
111,111,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
112,112,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
113,113,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
114,114,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
115,115,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
116,116,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
117,117,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
118,118,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
119,119,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
120,120,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
121,121,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
122,122,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
123,123,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
124,124,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
125,125,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
126,126,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
127,127,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
128,128,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
129,129,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
130,130,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
131,131,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
132,132,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
133,133,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
134,134,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
135,135,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
136,136,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
137,137,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
138,138,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
139,139,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
140,140,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
141,141,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
142,142,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
143,143,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
